id,app_id,platforms,categories,genres,CompositeRating,header_image
376,55230,"windows,mac","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Family Sharing",Action,0.444367,https://cdn.akamai.steamstatic.com/steam/apps/55230/header.jpg?t=1706618956
81,3830,"windows,mac","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Family Sharing",Action,0.443533,https://cdn.akamai.steamstatic.com/steam/apps/3830/header.jpg?t=1711143957
31,380,"windows,mac","Single-player,Steam Achievements,Full controller support,Captions available,Steam Cloud,Stats,Includes Source SDK,Commentary available,Remote Play Together,Family Sharing",Action,0.442946,https://cdn.akamai.steamstatic.com/steam/apps/380/header.jpg?t=1699003429
9,380,"windows,mac","Single-player,Steam Achievements,Full controller support,Captions available,Steam Cloud,Stats,Includes Source SDK,Commentary available,Remote Play Together,Family Sharing",Action,0.442946,https://cdn.akamai.steamstatic.com/steam/apps/380/header.jpg?t=1699003429
663,227300,"windows,mac","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor,Remote Play on Phone,Remote Play on Tablet,Remote Play Together,Family Sharing","Indie,Simulation",0.442733,https://cdn.akamai.steamstatic.com/steam/apps/227300/header.jpg?t=1716524980
126,8190,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV,Family Sharing","Action,Adventure",0.442543,https://cdn.akamai.steamstatic.com/steam/apps/8190/header.jpg?t=1660140289
566,210970,"windows,mac","Single-player,Steam Achievements,Captions available,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Family Sharing","Adventure,Indie",0.440977,https://cdn.akamai.steamstatic.com/steam/apps/210970/header.jpg?t=1598383120
136,9050,"windows,mac","Single-player,Multi-player,Steam Cloud,Family Sharing",Action,0.440582,https://cdn.akamai.steamstatic.com/steam/apps/9050/header.jpg?t=1660240082
808,251470,"windows,mac","Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote","Action,Indie",0.44035,https://cdn.akamai.steamstatic.com/steam/apps/251470/header.jpg?t=1715114308
928,269050,"windows,mac","Single-player,Steam Achievements,Family Sharing","Adventure,Indie",0.44022,https://cdn.akamai.steamstatic.com/steam/apps/269050/header.jpg?t=1578575546
107,6850,"windows,mac","Single-player,Steam Cloud,Family Sharing",Action,0.440158,https://cdn.akamai.steamstatic.com/steam/apps/6850/header.jpg?t=1667311130
105,6830,"windows,mac","Single-player,Multi-player,Co-op,Family Sharing",Strategy,0.439932,https://cdn.akamai.steamstatic.com/steam/apps/6830/header.jpg?t=1712822533
314,41050,"windows,mac","Single-player,Multi-player,Co-op,Shared/Split Screen,Includes level editor,Remote Play Together,Family Sharing","Action,Indie",0.439838,https://cdn.akamai.steamstatic.com/steam/apps/41050/header.jpg?t=1601675032
138,9340,"windows,mac","Single-player,Multi-player,Steam Cloud,Family Sharing","Action,Strategy",0.439576,https://cdn.akamai.steamstatic.com/steam/apps/9340/header.jpg?t=1711547477
1442,412830,"windows,mac","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Family Sharing",Adventure,0.439541,https://cdn.akamai.steamstatic.com/steam/apps/412830/header.jpg?t=1715703398
794,250320,"windows,mac","Single-player,Steam Achievements,Full controller support,Remote Play on TV,Family Sharing","Action,Adventure,Casual",0.439469,https://cdn.akamai.steamstatic.com/steam/apps/250320/header.jpg?t=1686747108
61,2640,,,,0.439458,
440,97110,"windows,mac","Single-player,Multi-player,Co-op,Family Sharing",Strategy,0.439189,https://cdn.akamai.steamstatic.com/steam/apps/97110/header.jpg?t=1447354554
688,231160,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on TV,Family Sharing","Action,Adventure,Indie",0.439189,https://cdn.akamai.steamstatic.com/steam/apps/231160/header.jpg?t=1651857485
187,17080,"windows,mac","Multi-player,Co-op","Action,Free to Play",0.438588,https://cdn.akamai.steamstatic.com/steam/apps/17080/header.jpg?t=1531277569
358,47870,"windows,mac","Single-player,Multi-player,PvP,Online PvP,Steam Trading Cards,Partial Controller Support,Family Sharing",Racing,0.437982,https://cdn.akamai.steamstatic.com/steam/apps/47870/header.jpg?t=1615216487
378,57300,"windows,mac","Single-player,Steam Achievements,Full controller support,Captions available,Includes level editor,Commentary available,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Family Sharing","Action,Adventure,Indie",0.437803,https://cdn.akamai.steamstatic.com/steam/apps/57300/header.jpg?t=1685699016
190,1693980,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Cloud,HDR available,Family Sharing","Action,Adventure",0.437499,https://cdn.akamai.steamstatic.com/steam/apps/1693980/header.jpg?t=1702492799
1313,362890,"windows,mac","Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor,Includes Source SDK,Remote Play on Phone,Remote Play","Action,Adventure,Indie",0.437292,https://cdn.akamai.steamstatic.com/steam/apps/362890/header.jpg?t=1713848388
1180,321040,,,,0.436267,
1427,405640,"windows,mac","Single-player,Steam Achievements,Steam Trading Cards,Stats,Family Sharing",Indie,0.435442,https://cdn.akamai.steamstatic.com/steam/apps/405640/header.jpg?t=1701997794
1331,368370,"windows,mac","Single-player,Steam Achievements,Steam Trading Cards,Family Sharing","Adventure,Casual,Indie,Simulation",0.434952,https://cdn.akamai.steamstatic.com/steam/apps/368370/header.jpg?t=1684962832
859,257510,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor,Remote Play on TV,Family Sharing","Action,Adventure,Indie",0.433674,https://cdn.akamai.steamstatic.com/steam/apps/257510/header.jpg?t=1710246642
161,12150,,,,0.433621,
260,32360,"windows,mac","Single-player,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing",Adventure,0.433449,https://cdn.akamai.steamstatic.com/steam/apps/32360/header.jpg?t=1684960488
178,15320,"windows,mac","Single-player,Multi-player,Steam Cloud,Includes level editor,Family Sharing",Simulation,0.433176,https://cdn.akamai.steamstatic.com/steam/apps/15320/header.jpg?t=1709547324
293,39190,"windows,mac","Single-player,Family Sharing",RPG,0.433106,https://cdn.akamai.steamstatic.com/steam/apps/39190/header.jpg?t=1709630517
139,9350,"windows,mac","Single-player,Multi-player,Family Sharing",Strategy,0.433095,https://cdn.akamai.steamstatic.com/steam/apps/9350/header.jpg?t=1709632244
1385,388210,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Commentary available,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing",Adventure,0.432992,https://cdn.akamai.steamstatic.com/steam/apps/388210/header.jpg?t=1710444508
1070,298030,"windows,mac","Single-player,Multi-player,Family Sharing",Strategy,0.432971,https://cdn.akamai.steamstatic.com/steam/apps/298030/header.jpg?t=1708071914
1360,377860,"windows,mac","Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV,Remote Play Together,Family Sharing",Action,0.432885,https://cdn.akamai.steamstatic.com/steam/apps/377860/header.jpg?t=1681246328
756,243040,"windows,mac","Single-player,Family Sharing",Simulation,0.432728,https://cdn.akamai.steamstatic.com/steam/apps/243040/header.jpg?t=1595800937
